username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
Supachan,deaf,24,23,4613,11190,4053,560,6056,5134
praserx,deaf,21,168,9551,783262,7425,2126,648688,134574
huangsheng97,deaf,156,119,25950,122954,22861,3089,68674,54280
okakee,deaf,10,8,881,604,779,102,440,164
anriaz,deaf,813,642,25707,21659,21573,4134,19738,1921
ephemer4l,deaf,93,88,63736,214855,51208,12528,123747,91108
LittleB0xes,deaf,13,92,2072,11683,1067,1005,8732,2951
suprelory,deaf,57,767,16893,270959,16677,216,135545,135414
yaptx,deaf,433,223,275845,39629,97637,178208,28460,11169
praneethkvs,deaf,43,130,144717,37450,143140,1577,36260,1190
zmeiresearch,deaf,16,8,33160,279,33013,147,257,22
laughingman7743,deaf,58,13,24051,8298,20333,3718,2012,6286
rstandow,dyslexia,161,43,16671,4511,9127,7544,3138,1373
orelTahary,adhd,71,8,228832,3953,155841,72991,3784,169
codetrooper108,adhd,81,7,1591,5093,1235,356,4973,120
AzyMyt,autism,8,57,170,2400,100,70,1662,738
Saxopwned,adhd,88,133,33458,104884,29183,4275,57610,47274
aichangex,adhd,12,10,345,1970,217,128,1326,644
sibottle,adhd,16,39,414809,64015,401024,13785,55787,8228
freezeoncrack,autism,47,383,906,888,570,336,515,373
Rguarnizo,adhd,19,175,146100,10223,145697,403,8090,2133
dudemelo,adhd,84,199,4767,44402,3435,1332,31301,13101
johnmurrayfreedom,autism,5247,12,69327,107772,57483,11844,107771,1
shubhampatel06,autism,10,25,19422,16060,19328,94,15962,98
kthamessr,autism,11,20,103,3288,56,47,2933,355
vfeliu04,autism,25,81,190700,8236,190637,63,4858,3378
augustoreyesdelgado,autism,55,19,46626,1189,44897,1729,851,338
ShazedaOni,autism,132,22,219859,4052,219321,538,4003,49
luogenomics,autism,40,34,11819,7335,9803,2016,6553,782
Sri200519,autism,54,102,13947,91461,13215,732,86261,5200
mads-mikkel,autism,124,27,73085,4633,71190,1895,4559,74
asdtiwari,asd,123,56,50798,42981,35378,15420,35939,7042
Anuragcpp,asd,150,57,42517,17942,40120,2397,17456,486
LuizFernando110,asd,77,226,10065,34434,9135,930,27053,7381
Intron014,asd,4043,430,426402,51871,420594,5808,47146,4725
onyphe,asd,9,12,1352,2712,1105,247,2145,567
AlexthePear,asd,423,241,56627,37610,49756,6871,25346,12264
areyouroot,asd,29,25,1100,3889,1030,70,954,2935
vwv-source,disabled,8,7,3511,3108,3399,112,2538,570
rawhide81,disabled,29,13,3819,833336,3611,208,833239,97
SeveredVercetti,disabled,486,1166,12379,81429,7003,5376,42953,38476
relitrix-archive,disabled,721,5,174875,450,30917,143958,241,209
sazhas,disabled,4516,3117,19970,1295020,10210,9760,1171034,123986
maxnelson,disabled,176,77,202691,100861,119580,83111,59908,40953
markinsutton,disabled,21,13,6959,93,4394,2565,81,12
GeorgeKerscher,disabled,55,11,21061,1568,18057,3004,1445,123
kljzndx,disabled,451,526,21659,1813,17475,4184,1044,769
WinaGea,visually impaired,72,187,23657,34011,23657,0,30187,3824
josebohorquez1,visually impaired,87,185,2803729,40314,2406815,396914,32935,7379
williamjstanton,visually impaired,609,714,296540,182866,174172,122368,122568,60298
vvvv1111vvvv,blind,203,17,49777,71353,45741,4036,71340,13
TBO-BrutusAlbion,blind,35,109,13160,62186,5253,7907,53918,8268
DREK69,blind,214,454,2605,21963,1589,1016,12520,9443
Roseleaves,blind,21,380,2100,142976,2042,58,66047,76929
ROFLING,blind,11,21,4033,26207,4014,19,25255,952
Youthername,blind,8,8,21292,2391,21292,0,2289,102
idkpmiller,blind,155,35,38664,2258,10344,28320,1895,363
nkyozkz,blind,543,8,25248,9611,20637,4611,8993,618
Zoaib-Sir,blind,27,20,16288,3496,15999,289,3375,121
JuzHarii,blind,279,114,74279,224158,33884,40395,167183,56975
M0M0KO,blind,154,263,4355,1705884,1349,3006,1701128,4756
shirishshrestha,blind,120,425,291745,308533,287899,3846,219773,88760
Pamasi,blind,86,55,130395,6234,101170,29225,4107,2127
wSanice,blind,60,159,4461,1548642,4345,116,1028371,520271
Redomine,blind,63,28,326738,1509,324367,2371,1207,302
praneethkvs,blind,43,130,144717,37450,143140,1577,36260,1190
marigostra,blind,15,12,1211,1634,1083,128,1410,224
zeeshan-shafeek,blind,8,10,848,1191,695,153,1167,24
liamerven,blind,573,55,45941,2312,16528,29413,1674,638
KreerC,blind,154,93,34310,8609,25709,8601,5600,3009
nanabingies,blind,466,67,8141,3489,4679,3462,3217,272
