username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
WinaGea,visually impaired,72,187,23657,34011,23657,0,30187,3824
josebohorquez1,visually impaired,87,185,2803729,40314,2406815,396914,32935,7379
upyesp,visually impaired,132,13,2560581,1778,958905,1601676,1768,10
williamjstanton,visually impaired,609,714,296540,182866,174172,122368,122568,60298
shadyar,visually impaired,220,99,7613,214089,6051,1562,211565,2524
starkrush123,visually impaired,197,84,9106,58074,6124,2982,44001,14073
anastantz,visually impaired,16771,18,19850,545,19330,520,408,137
hkatic,visually impaired,506,209,14621,12544,8919,5702,7491,5053
vvvv1111vvvv,blind,203,17,49777,71353,45741,4036,71340,13
TBO-BrutusAlbion,blind,35,109,13160,62186,5253,7907,53918,8268
DREK69,blind,214,454,2605,21963,1589,1016,12520,9443
Roseleaves,blind,21,380,2100,142976,2042,58,66047,76929
ROFLING,blind,11,21,4033,26207,4014,19,25255,952
akhettat,blind,38,12,4316957,3649,2316165,2000792,2482,1167
brlat,blind,532,338,92327,104261,65287,27040,69879,34382
Youthername,blind,8,8,21292,2391,21292,0,2289,102
idkpmiller,blind,155,35,38664,2258,10344,28320,1895,363
nkyozkz,blind,543,8,25248,9611,20637,4611,8993,618
ShotgunSpoon,blind,1082,864,41498,13096,28364,13134,9144,3952
Zoaib-Sir,blind,27,20,16288,3496,15999,289,3375,121
JuzHarii,blind,279,114,74279,224158,33884,40395,167183,56975
M0M0KO,blind,154,263,4355,1705884,1349,3006,1701128,4756
angelobeck,blind,14,38,8145,31300,8132,13,27481,3819
shirishshrestha,blind,120,425,291745,308533,287899,3846,219773,88760
Pamasi,blind,86,55,130395,6234,101170,29225,4107,2127
wSanice,blind,60,159,4461,1548642,4345,116,1028371,520271
ns-studios,blind,650,176,349508,142204,59701,289807,133030,9174
Redomine,blind,63,28,326738,1509,324367,2371,1207,302
sharkboyto,blind,14,8,1216,159,1092,124,81,78
praneethkvs,blind,43,130,144717,37450,143140,1577,36260,1190
marigostra,blind,15,12,1211,1634,1083,128,1410,224
zeeshan-shafeek,blind,8,10,848,1191,695,153,1167,24
PhoenixTilea,blind,2042,836,112102,139470,29290,82812,105901,33569
javidominguez,blind,218,80,54358,4963,36650,17708,3046,1917
serrebi,blind,89,309,3975,92333,2542,1433,71450,20883
liamerven,blind,573,55,45941,2312,16528,29413,1674,638
ismaelmosquera,blind,33,94,304169,484260,157173,146996,247924,236336
sethwilsonUS,legally blind,86,12,35520,35644,25757,9763,35480,164
yeatersink,blind,1299,123,243034,47378,143585,99449,27429,19949
alexecution,blind,48,149,4958,143018,3810,1148,132864,10154
KreerC,blind,154,93,34310,8609,25709,8601,5600,3009
Oliver2213,blind,498,1580,67250,121255,34700,32550,79439,41816
nanabingies,blind,466,67,8141,3489,4679,3462,3217,272
FlorianEagox,blind,104,22,137374,25422,62697,74677,17319,8103
